61,CC,,Missing floor tiles in front of stairs to reception area (west side),Lab Flooring,2024-06-04,2024-06-10,,,,
62,CC,,Broken floor tile in middle of lobby,Lab Flooring,2024-06-06,2024-06-10,,,,
63,CC,,Water fountain not working,Swift,2024-06-06,2024-06-10,,,,
64,CC,,Missing grout for floor tiles near entrance,Lab Flooring,2024-05-28,2024-06-10,,,,
65,CC,120 - RECEPTION AREA,"Final railing not installed, temporary wood railing",Westmount,2024-05-28,2024-06-10,,,,
66,CC,,Fire alarm covers to be removed,PPG,2024-05-28,2024-06-10,,,,
67,CC,,Wires hanging from ceiling in multiple locations ,PPG,2024-05-28,2024-06-10,,,,
68,CC,,Flooring missing,Lab Flooring,2024-06-04,2024-06-10,,,,
69,CC,,Paint needed on East and West walls,Tuygun,2024-05-28,2024-06-10,,,,
70,CC,121 - CORRIDOR,Cornerguard needed on wall in front of customer service desk,Benmar,2024-05-28,2024-06-10,,,,
71,CC,,Paint needed beside elevator door,Tuygun,2024-06-04,2024-06-10,,,,
72,CC,,Paint needed on North wall (customer service) and West wall (beside customer service),Tuygun,2024-05-28,2024-06-10,,,,
73,CC,132A - BATHROOM,Sink not working,Swift,2024-06-04,2024-06-10,,,,
74,CC,,"Hole in wall, pipes visible",Lab Flooring,2024-06-04,2024-06-10,,,,
75,CC,,Some wall grout missing near floor (all sides),Lab Flooring,2024-05-28,2024-06-10,,,,
76,CC,132B - BATHROOM,Sink not working,Swift,2024-06-04,2024-06-10,,,,
77,CC,,"Hole in wall, pipes visible",Lab Flooring,2024-06-04,2024-06-10,,,,
78,CC,,Some wall grout missing near floor (all sides),Lab Flooring,2024-05-28,2024-06-10,,,,
79,CC,132 - MULTIPURPOSE STUDIO,Missing ceiling panels Northeast corner Southeast corner,Benmar,2024-05-28,2024-06-10,,,,
80,CC,,Missing ceiling panel against North wall,Benmar,2024-05-28,2024-06-10,,,,
81,CC,,Missing blinds,EN3,2024-06-06,2024-06-10,,,,
82,CC,,Missing tiles near entrance,Lab Flooring,2024-06-04,2024-06-10,,,,
83,CC,,Paint needed on West and East walls,Tuygun,2024-05-28,2024-06-10,,,,
84,CC,,Missing baseboard/trim,Benmar,2024-06-04,2024-06-10,,,,
85,CC,,Paint needed on North wall near door,Tuygun,2024-05-28,2024-06-10,,,,
86,CC,130 - IT ROOM,Paint required on West wall near entrance,Tuygun,2024-06-04,2024-06-10,,,,
87,CC,,Missing flooring,Lab Flooring,2024-05-28,2024-06-10,,,,
88,CC,131 - JANITOR ROOM,Missing grout for wall tiles,Lab Flooring,2024-05-28,2024-06-10,,,,
89,CC,,Fill around drain,Lab Flooring,2024-05-28,2024-06-10,,,,
90,CC,127 - UNIVERSAL WASHROOM,Exposed electrical boxes,PPG,2024-05-28,2024-06-10,,,,
91,CC,,Missing wall grout near floor (North and West sides),Lab Flooring,2024-05-28,2024-06-10,,,,
92,CC,,Paint needed on outside wall,Tuygun,2024-05-28,2024-06-10,,,,
93,CC,,Sink not working,Swift,2024-06-05,2024-06-10,,,,
94,CC,,Exposed electrical box on outside wall,PPG,2024-05-28,2024-06-10,,,,
95,CC,128 - STAGING,Paint required on East and West walls,Tuygun,2024-05-28,2024-06-10,,,,
96,CC,,Rubber base required,Lab Flooring,2024-06-06,2024-06-10,,,,
97,CC,,Paint required on North wall and walls in front of doorway 125C,Tuygun,2024-05-28,2024-06-10,,,,
98,CC,,Missing outlet covers by doorway 125C,PPG,2024-05-28,2024-06-10,,,,
99,CC,125 - VISUAL ARTS STUDIO,Ceiling panel sticking out in Northwest corner,PPG,2024-05-28,2024-06-10,,,,
